"Match ID","Series","League","Start Date/Time","Match Length","Duration (secs)","Kills Score","","Winner","Radiant Team","Radiant Players","Dire Team","Dire Players"
"3930016447","223614","9943","03 Jun 2018 04:00","28:33","1713","5-31","5,31","Dire","The Final Tribe","Handsken, jonassomfan, Era, Pablo, Frost","Team Secret","Fata, Puppey, YapzOr, Ace, MidOne"
"3929018213","223427","9943","02 Jun 2018 04:09","44:52","2692","35-31","35,31","Radiant","Newbee","Faith, kpii, Moogy, kaka, Sccc","Team. Spirit","Illidan, G, Fng, DkPhobos, Biver"
"3928936023","223449","9943","02 Jun 2018 03:32","36:41","2201","11-34","11,34","Dire","Vici Gaming","old LaNm, Ori, Fenrir, old eLeVeN, Paparazi","TNC Predator","Raven, TIMS, Armel, Kuku, Sam H"
"3928837410","223427","9943","02 Jun 2018 02:46","57:34","3454","45-33","45,33","Radiant","Newbee","Faith, kpii, Moogy, kaka, Sccc","Team. Spirit","Illidan, G, Fng, DkPhobos, Biver"
"3928801490","223449","9943","02 Jun 2018 02:28","32:16","1936","12-32","12,32","Dire","Vici Gaming","old LaNm, Ori, Fenrir, old eLeVeN, Paparazi","TNC Predator","Raven, TIMS, Armel, Kuku, Sam H"
"3928688563","223427","9943","02 Jun 2018 01:30","47:10","2830","32-25","32,25","Radiant","Team. Spirit","Illidan, G, Fng, DkPhobos, Biver","Newbee","Faith, kpii, Moogy, kaka, Sccc"
"3928620364","223417","9943","02 Jun 2018 12:52","53:25","3205","39-35","39,35","Radiant","TNC Predator","Raven, TIMS, Armel, Kuku, Sam H","Evil Geniuses","Cr1t-, s4, Arteezy, Fly, SumaiL"
"3928509645","223409","9943","02 Jun 2018 11:46","58:19","3499","31-42","31,42","Dire","Natus Vincere","Dendi, velheor, GeneRaL, Lil, Crystallize","Team. Spirit","Illidan, G, Fng, DkPhobos, Biver"
"3928462587","223417","9943","02 Jun 2018 11:18","1:03:52","3832","33-59","33,59","Dire","Evil Geniuses","Cr1t-, s4, Arteezy, Fly, SumaiL","TNC Predator","Raven, TIMS, Armel, Kuku, Sam H"
"3928389527","223409","9943","02 Jun 2018 10:35","42:09","2529","39-20","39,20","Radiant","Team. Spirit","Illidan, G, Fng, DkPhobos, Biver","Natus Vincere","Dendi, velheor, GeneRaL, Lil, Crystallize"
